[0]	train-logloss:0.70507	val-logloss:0.70507
[5]	train-logloss:0.65254	val-logloss:0.65254
[10]	train-logloss:0.61869	val-logloss:0.61869
[15]	train-logloss:0.58521	val-logloss:0.58521
[20]	train-logloss:0.56209	val-logloss:0.56209
[25]	train-logloss:0.54600	val-logloss:0.54600
[30]	train-logloss:0.53422	val-logloss:0.53422
[35]	train-logloss:0.52457	val-logloss:0.52457
[40]	train-logloss:0.51593	val-logloss:0.51593
[45]	train-logloss:0.50926	val-logloss:0.50926
[50]	train-logloss:0.50445	val-logloss:0.50445
[55]	train-logloss:0.50100	val-logloss:0.50100
[60]	train-logloss:0.49786	val-logloss:0.49786
[65]	train-logloss:0.49596	val-logloss:0.49596
[70]	train-logloss:0.49326	val-logloss:0.49326
[75]	train-logloss:0.49154	val-logloss:0.49154
[80]	train-logloss:0.48972	val-logloss:0.48972
[85]	train-logloss:0.48818	val-logloss:0.48818
[90]	train-logloss:0.48702	val-logloss:0.48702
[95]	train-logloss:0.48615	val-logloss:0.48615
[99]	train-logloss:0.48536	val-logloss:0.48536
